rounds,accuracy,kappa,f1_score,roc_auc,Scenario
41,0.6196,0.5770915159692209,0.619027916689837,0.8915308210633348,Baseline_IID
42,0.6238,0.5817508983240438,0.6204096222357879,0.8914925405240861,Baseline_IID
43,0.6264,0.5846582890942905,0.6269009611357638,0.893463718911289,Baseline_IID
44,0.6198,0.5775311895305888,0.6163213784965037,0.8929704995768719,Baseline_IID
45,0.6248,0.5829402641285959,0.6226735111565855,0.8914642815724446,Baseline_IID
46,0.6314,0.5902407382043329,0.6272849621824225,0.8918949409104673,Baseline_IID
47,0.6252,0.5834408469135233,0.6254346997112415,0.8916884215909148,Baseline_IID
48,0.6316,0.5905856506496288,0.6324360809482001,0.8929014278817449,Baseline_IID
49,0.6238,0.5818750209087916,0.6220000169250613,0.8923046092765113,Baseline_IID
50,0.628,0.5865728721238974,0.6240170076389537,0.8932611178490333,Baseline_IID
1,0.3172,0.2405390689634647,0.285513065166422,0.7682640845256514,One_Attacker_IID
2,0.396,0.3291869063862335,0.3742167207770941,0.8160492640918057,One_Attacker_IID
3,0.4226,0.3587352718860431,0.4080616203185311,0.8319358164179186,One_Attacker_IID
4,0.446,0.3847358392221369,0.4257459482992567,0.8399681379424243,One_Attacker_IID
5,0.4594,0.3997094326328329,0.4486712077382319,0.8484421925437893,One_Attacker_IID
6,0.4696,0.4111300125714036,0.4650236554765898,0.8517288503681948,One_Attacker_IID
7,0.4988,0.4428173734193582,0.4845791230778464,0.8571814492956262,One_Attacker_IID
8,0.5146,0.4604075154200631,0.5020918034610455,0.8618010070637534,One_Attacker_IID
9,0.5128,0.4584868237769805,0.5084880369527042,0.8631666804325656,One_Attacker_IID
10,0.5092,0.4545903163020863,0.5080831227301609,0.86244411783002,One_Attacker_IID
11,0.5292,0.4768342094229916,0.5255150976251799,0.8677992942048229,One_Attacker_IID
12,0.5454,0.49481899651281,0.5394984416888752,0.8684821468196862,One_Attacker_IID
13,0.5484,0.4983579988521254,0.5415603553402725,0.8686877350719716,One_Attacker_IID
14,0.5476,0.4977657919006029,0.5442080904675672,0.8723053454703058,One_Attacker_IID
15,0.5508,0.5010123355411971,0.5477086384426675,0.8725167247070834,One_Attacker_IID
16,0.549,0.4989567019814001,0.5491130980375104,0.872143957640667,One_Attacker_IID
17,0.562,0.5132439004934297,0.5611261208978559,0.8745074420798606,One_Attacker_IID
18,0.5682,0.5200409198651903,0.5652232052586517,0.8772876243734968,One_Attacker_IID
19,0.5584,0.5091652765124136,0.5527517794985298,0.8773468615320086,One_Attacker_IID
20,0.5686,0.5207031926296887,0.5665704648327223,0.8766119567433718,One_Attacker_IID
21,0.567,0.5186119534276123,0.5642099258592845,0.8797330197388925,One_Attacker_IID
22,0.575,0.5277022107956658,0.5723270819327202,0.881303447280684,One_Attacker_IID
23,0.5814,0.5348105869660637,0.5799808083986729,0.8837582572819154,One_Attacker_IID
