rounds,accuracy,kappa,f1_score,roc_auc,Scenario
45,0.6188,0.5761393736805509,0.6165711576013144,0.8928971819067834,Baseline_IID
46,0.6126,0.5691837017901645,0.6132543090593816,0.8912239831235269,Baseline_IID
47,0.6228,0.5806133455773306,0.6206578335440043,0.8912355016477864,Baseline_IID
48,0.62,0.5773839732282928,0.6197623507326553,0.8926156889939751,Baseline_IID
49,0.6198,0.5773980614971677,0.6153909136941739,0.89066527799661,Baseline_IID
50,0.6206,0.5781658723153401,0.620593006778245,0.8915359419932684,Baseline_IID
1,0.321,0.244774953445412,0.2855847747599481,0.7619450865463643,One_Attacker_IID
2,0.3692,0.2984817531900069,0.3262582529434923,0.8102687948590613,One_Attacker_IID
3,0.4102,0.3449694270778035,0.382875882576954,0.8277184471633476,One_Attacker_IID
4,0.4566,0.3961285826153422,0.4372195413304904,0.8412128533125979,One_Attacker_IID
5,0.466,0.4061748136731443,0.4513142365571008,0.8473042958258793,One_Attacker_IID
6,0.47,0.4110895328269016,0.4453620836178424,0.8531286406548405,One_Attacker_IID
7,0.49,0.4334363168143109,0.4876115459574731,0.8531690473592365,One_Attacker_IID
8,0.4852,0.428084103944568,0.4753542768447815,0.8529619085392164,One_Attacker_IID
9,0.505,0.4498888109751841,0.4917297499743339,0.8585972206821465,One_Attacker_IID
10,0.5176,0.4635471133511372,0.5069378758162402,0.8646057343098859,One_Attacker_IID
11,0.5194,0.465927247316239,0.5123817850011197,0.8657841759493676,One_Attacker_IID
12,0.5274,0.474366839081342,0.5219809914463464,0.8662450233251957,One_Attacker_IID
13,0.5304,0.4782441144735947,0.5301148048908177,0.869701253095569,One_Attacker_IID
14,0.5418,0.4910411920636197,0.5433504617583413,0.8716894931846022,One_Attacker_IID
15,0.5452,0.4945189841702386,0.5441387308428097,0.8726265157383772,One_Attacker_IID
16,0.5462,0.4957120073805036,0.5411936750952644,0.870603130637257,One_Attacker_IID
17,0.5612,0.5125356730679116,0.557564981229718,0.8749597756353167,One_Attacker_IID
18,0.558,0.5089759111651005,0.5583132159397229,0.8772334795730602,One_Attacker_IID
19,0.5626,0.5139483966889866,0.5624305254601654,0.8816174387642693,One_Attacker_IID
20,0.564,0.5156001478213748,0.5616280751633014,0.8832407842173994,One_Attacker_IID
21,0.567,0.5186681980502326,0.5572164340270221,0.8828308373808688,One_Attacker_IID
22,0.5684,0.5203202479972145,0.5711654133696167,0.8824868942430232,One_Attacker_IID
23,0.5784,0.5316028248607876,0.5746268478782505,0.8863933624003223,One_Attacker_IID
24,0.5796,0.5327258388921391,0.5763906478998725,0.8855829300704215,One_Attacker_IID
25,0.5796,0.5329063011033979,0.5763748931955314,0.8855842437614921,One_Attacker_IID
26,0.575,0.5278939357795376,0.5710905729277131,0.8860778545634719,One_Attacker_IID
