rounds,accuracy,kappa,f1_score,roc_auc
1,0.3026,0.22450002035548733,0.25946219762940365,0.7554225630261034
2,0.3428,0.26960282628294685,0.29520011544497654,0.7833390359412562
3,0.363,0.2915557814466552,0.3248552821127893,0.8000295007245488
4,0.3758,0.30754136917056896,0.36557873893545173,0.8097080143927419
5,0.4072,0.34209435278888056,0.3887906202445664,0.8162732024237592
6,0.4212,0.3571820074082347,0.39686898409770677,0.8206733791763099
7,0.443,0.3808505393961266,0.4272696810652754,0.823653732261142
8,0.4434,0.3820445658670494,0.43389179929433147,0.8197275059354794
9,0.463,0.4034713964745313,0.45398581569497826,0.8268831549482529
10,0.4698,0.41115686735694734,0.46096673063476445,0.8362184215294229
11,0.4698,0.411086287525217,0.4683756711247114,0.831571423043339
12,0.4874,0.4301701482950841,0.48169393198471633,0.8249506799611821
13,0.4838,0.42634166707100224,0.4814995466520775,0.8370065220908964
14,0.4788,0.42109546689306715,0.4669119856696794,0.8363510999441505
15,0.4736,0.41577969537262577,0.46764365617066633,0.8286378454454785
16,0.4924,0.43647684504535983,0.4894020084577469,0.833291919729091
17,0.496,0.44040726527291574,0.49584606468226083,0.8382068493149923
18,0.479,0.4211972406335577,0.4738258060667271,0.8325665175984824
19,0.4946,0.43900641916841704,0.4909369939573829,0.8371791444949335
20,0.4982,0.44280074414907333,0.49625898060265555,0.8340094989475109
21,0.5038,0.44891710021568276,0.5070503295679151,0.837263502792739
22,0.5238,0.47135728346113054,0.518430104313239,0.8442949982353535
23,0.4974,0.44152242081229204,0.4957072593354742,0.8363152737970864
24,0.503,0.44799238132370145,0.49563757740485953,0.8397318348596251
25,0.5036,0.44866005202766,0.49986548037951006,0.8391576799148072
26,0.503,0.4479454954079444,0.501314903528297,0.8380118158768992
27,0.5174,0.46390048272226614,0.5173778170793812,0.8396441394044356
28,0.5238,0.47093591477339153,0.5253659722037318,0.8395804850891465
29,0.5206,0.46737141059902587,0.5234548629437624,0.8445015024171294
30,0.5564,0.507021845161471,0.5599878780087647,0.8526317623275012
31,0.523,0.47016615214946234,0.526954577091382,0.8441434879524022
32,0.5334,0.4816839874154952,0.5316424457776456,0.8483985756823132
33,0.5252,0.4726229619235072,0.5275264425999421,0.8481046527388971
34,0.516,0.4624861449588725,0.5150524454921056,0.8447401323213372
35,0.4932,0.437195985585766,0.4954580029760049,0.839617358988413
36,0.5428,0.4923827250822563,0.5412207992160769,0.8529912843002779
37,0.5188,0.46546141999310336,0.5243389997551904,0.846370377738061
38,0.5286,0.4763778416354069,0.5309094201100657,0.8511337583548791
39,0.5308,0.47869732969849726,0.5338636888113616,0.8461574656793166
40,0.513,0.45912649444890774,0.5165869671495792,0.8441211420984811
41,0.5358,0.48444124251996,0.5377662309088406,0.8492475463069578
42,0.5186,0.4653944550050601,0.5208875987461732,0.8474876392061238
43,0.5402,0.4890920086108432,0.5440847445589808,0.853715945274873
44,0.5124,0.45836877248991975,0.5147828717269244,0.8446480797615437
45,0.5354,0.4840547274508306,0.5413412034003794,0.8510027631434188
46,0.538,0.48662401990912424,0.5423388105485271,0.8540929037273625
47,0.5182,0.4646000154212271,0.5207031202551203,0.8497749463995838
48,0.4936,0.43747613921989686,0.49013738297806314,0.8419099683344029
49,0.5274,0.4751008273868022,0.5270179898082,0.8502077246120482
50,0.5352,0.48357458742831805,0.5376513974449547,0.8490383110411122
