rounds,accuracy,kappa,f1_score,roc_auc,Scenario
1,0.3494,0.2766783359941139,0.3192128303285012,0.8000525152858466,Baseline_IID
2,0.4338,0.3709685818813099,0.4179027206228825,0.8340817300181547,Baseline_IID
3,0.482,0.4238983431696917,0.4719552515149908,0.8473167904906133,Baseline_IID
4,0.5046,0.4492480096618058,0.4978515850206982,0.8570853955716533,Baseline_IID
5,0.5452,0.4941790159859188,0.5428877322800216,0.8684041133119498,Baseline_IID
6,0.55,0.4994466764852545,0.5450394968762211,0.8705111808412761,Baseline_IID
7,0.5606,0.5111663365732606,0.5524246200740783,0.874728624933119,Baseline_IID
8,0.5796,0.5324604759876861,0.5800424812337474,0.8783329093658464,Baseline_IID
9,0.5836,0.5371742120511395,0.5793309241916166,0.8805084713896425,Baseline_IID
10,0.5822,0.5356900200647904,0.5776784528701591,0.8820748375208309,Baseline_IID
11,0.6022,0.5576015472133061,0.5967519294155712,0.8859263946899532,Baseline_IID
12,0.603,0.5585224871580368,0.5995093984153491,0.8875470073393994,Baseline_IID
13,0.6166,0.5738105430208329,0.6143248534904293,0.8898174810529005,Baseline_IID
14,0.6124,0.569161180389537,0.6102816800145336,0.8891597620889137,Baseline_IID
15,0.6132,0.5699992424529143,0.6107857011128917,0.8896172911636797,Baseline_IID
16,0.6214,0.579209593602515,0.6192686532150057,0.8915279884436949,Baseline_IID
17,0.6126,0.5695666103215482,0.6092030945536178,0.8906740795450067,Baseline_IID
18,0.6156,0.5724947294069285,0.6130546431912772,0.8916550272977817,Baseline_IID
19,0.6212,0.5790523133667641,0.6196877966180709,0.8916358857707993,Baseline_IID
20,0.6292,0.5878336143867724,0.6268795128942761,0.891550036006044,Baseline_IID
21,0.6212,0.5788691275836981,0.6187852784635712,0.8921064853652546,Baseline_IID
22,0.6342,0.5934033429138336,0.631798071064824,0.8921397795342672,Baseline_IID
23,0.6274,0.5857681714432466,0.6268885011408957,0.8918750349320431,Baseline_IID
24,0.6236,0.5816867733781746,0.622357729618586,0.8906300580577173,Baseline_IID
25,0.6314,0.5902488028245505,0.6307212026116226,0.8909396724881812,Baseline_IID
26,0.6262,0.5844780519321177,0.6253858738816027,0.8902433471263015,Baseline_IID
27,0.6254,0.5835640471427403,0.6257841685706089,0.8880994401659303,Baseline_IID
28,0.631,0.5897338280353158,0.6296612242775326,0.8903278912630249,Baseline_IID
29,0.6288,0.5874734276240935,0.6306451640220218,0.8878767976261733,Baseline_IID
30,0.6316,0.5902830726441051,0.6319998123485359,0.8877783855779442,Baseline_IID
31,0.6196,0.5770291920782902,0.6197943457049916,0.8867520631951271,Baseline_IID
32,0.6282,0.5867195692098608,0.6269926807008244,0.8852611420306264,Baseline_IID
